Region,Site,Latitude,Longitude,Elevation,Start Year,End Year,Age,Species Code,Plant Type,Family,Genus,Species,Climate Region (based on Aridity Index Value),LWCV,P50,Rooting Depth,Canopy Height,Tree Density,AWC,CEC,Ecological Memory,CV_PN_TMP,CV_EP_TMP,CV_PN_VPD,CV_EP_VPD,CV_PN_CWD,CV_EP_CWD,CV_PN_SR,CV_EP_SR,Nm,Pm,SLA
asia,russ056,66.88,51.95,35,1797,1990,193,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.140460272,,0.183108263,,392.6410516,6,78,,0.36055791,0.146293058,0.20361303,0.245912744,0.470058385,0.88646119,0.011400655,0.016276609,23.47509203,2.361436141,23.1877316
asia,russ057,62.47,137.75,400,1729,1991,262,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.117108105,,0.183108263,18,215.8759315,5,64,0.474688501,0.975666348,0.199310538,0.100246629,0.118744073,0.963631217,2.402220709,0.015478614,0.024048303,25.08350192,4.302479559,24.46480242
asia,russ058,66.88,51.95,35,1653,1990,337,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.149268874,-3.608966667,0.183108263,,392.6410516,6,78,0.196352033,0.36055791,0.146293058,0.20361303,0.245912744,0.470058385,0.88646119,0.011400655,0.016276609,23.47509203,2.361436141,23.1877316
asia,russ059,69.28,125.33,130,1694,1990,296,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.1653757,,0.183108263,14,135.6301396,1,104,0.427287289,0.374378186,0.160958302,0.111244634,0.13699898,0.195883994,13.30187454,0.008601003,0.007678567,25.06387864,4.167389152,29.95284625
asia,russ060,64.92,42.5,70,1743,1991,248,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.183853685,,0.183108263,18,638.1455812,1,36,0.243153471,0.180473913,0.117304482,0.144733116,0.199108222,0.458698712,1.137195487,0.009799028,0.017107533,13.17740436,1.737876838,5.908375836
asia,russ061,64.25,53.57,70,1674,1991,317,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.19276831,,1.44960708,21,509.1135465,1,36,0.400405187,0.20934875,0.129547362,0.164659451,0.206231333,0.431636187,1.027004718,0.014574306,0.017421348,13.25602156,1.776565206,5.704158894
asia,russ062,64.25,53.57,70,1717,1990,273,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.204959948,-3.608966667,1.44960708,21,509.1135465,1,36,0.270733866,0.206168749,0.130046313,0.16557741,0.207334622,0.431707048,1.032278548,0.014634774,0.017517708,13.25602156,1.776565206,5.704158894
asia,russ063,68.42,143.17,45,1553,1991,438,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.122407146,,0.167849241,18,64.67476602,1,25,,0.597313764,0.142442945,0.092096737,0.149227216,0.143064045,0.695079916,0.0119342,0.019838867,27.58484527,4.642127927,34.29228522
asia,russ064,66.22,56.33,65,1630,1990,360,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.221583947,,0.183108263,14,795.3271717,6,78,0.332736062,0.356857473,0.146778388,0.188532596,0.207794561,0.382611721,0.955480989,0.017341983,0.02034888,19.75242067,2.238411652,19.82609303
asia,russ065,69.77,112.82,150,1564,1990,426,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.219636008,,0.183108263,12,69.21892568,5,64,,0.768305182,0.162952713,0.178545883,0.168897798,0.301789689,1.383431931,0.022898732,0.026968039,26.73550603,4.08415483,33.92463771
asia,russ066,62.47,137.75,400,1568,1990,422,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Humid,0.187072372,,0.183108263,18,215.8759315,5,64,0.262929791,0.985891649,0.200465719,0.100745024,0.119416796,0.973936226,2.24902577,0.015561088,0.02418295,25.08350192,4.302479559,24.46480242
asia,russ068,66.68,82.3,50,1307,1968,661,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.202906175,,0,10,311.7504142,1,34,,0.586629497,0.14773081,0.160394291,0.196902686,0.760852241,0.752293479,0.012527204,0.011330503,23.68913774,2.904173772,28.99842047
asia,russ069,69.77,112.82,150,1830,1990,160,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.261331957,,0.183108263,12,69.21892568,5,64,0.33132592,0.768305182,0.162952713,0.178545883,0.168897798,0.301789689,1.383431931,0.022898732,0.026968039,26.73550603,4.08415483,33.92463771
asia,russ070,63.52,151.72,450,1362,1991,629,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.177620244,,0.091554131,14,106.9811134,6,78,,0.35720499,0.13865013,0.131777357,0.124725481,0.248979235,0.798189665,0.010479849,0.016562109,24.62833421,3.763145029,24.80474941
asia,russ071,66.67,82.33,15,1674,1990,316,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.111372052,,0.183108263,10,332.8266056,1,34,,0.588427321,0.14531536,0.16863007,0.197366645,0.807686439,0.778919771,0.011973897,0.01291135,23.68913774,2.904173772,28.99842047
asia,russ072,60.7,51.38,160,1650,1991,341,PCAB,Gymnosperm,Pinaceae,Picea,Picea abies,Humid,0.14259352,-3.98,0.183108263,21,703.1088257,6,78,0.360303091,0.123409619,0.106739809,0.151216216,0.212517976,0.598870733,1.53851175,0.011946355,0.017339659,13.42431441,1.784975971,6.395832295
asia,russ073,65.33,41.12,130,1594,1990,396,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.187307461,-3.608966667,0.183108263,17,426.8985938,5,64,,0.184684565,0.116878747,0.146687136,0.202596718,0.45872403,1.154586708,0.010112021,0.017404024,15.20275125,1.86763038,10.72510879
asia,russ074,60.7,51.38,160,1651,1991,340,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.25649254,-3.608966667,0.183108263,21,703.1088257,6,78,0.33057504,0.123409619,0.106739809,0.151216216,0.212517976,0.598870733,1.53851175,0.011946355,0.017339659,13.42431441,1.784975971,6.395832295
asia,russ075,60.7,51.38,160,1649,1991,342,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.244152498,,0.183108263,21,703.1088257,6,78,0.42241581,0.123409619,0.106739809,0.151216216,0.212517976,0.598870733,1.53851175,0.011946355,0.017339659,13.42431441,1.784975971,6.395832295
asia,russ076,71.9,111.03,150,1625,1990,365,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.238379588,,0.183108263,16,355.136188,6,37,,1.968418414,0.164280526,0.158726438,0.147064625,0.265021565,1.303828584,0.025715391,0.032007743,28.30411783,4.398376547,35.63966796
asia,russ077,71.7,118.58,140,1708,1990,282,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.20856876,,0.183108263,,48.09993765,1,104,,1.379503825,0.154390562,0.107095615,0.107646477,0.169386418,0.737813675,0.010663479,0.012498477,27.04523263,4.417535648,30.74045337
asia,russ078,69.12,84.5,80,1624,1990,366,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.3155256,,0.183108263,,0,6,78,0.223900835,3.209255476,0.185042289,0.184645106,0.247556743,0.924203886,0.697318897,0.010309372,0.012725765,25.74137345,3.225999211,35.80700093
asia,russ079,69.12,84.5,80,1949,1990,41,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.240983406,,0.183108263,,0,6,78,,2.92398875,0.188046089,0.177443118,0.279519573,1.180701996,0.65788512,0.012245071,0.014687259,25.74137345,3.225999211,35.80700093
asia,russ080,72.45,101.75,70,1624,1990,366,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Humid,0.300400668,,0.183108263,12,92.94509964,1,34,,0.538617527,0.184234544,0.156766602,0.146962708,0.326597319,3.919201062,0.038737619,0.051121272,27.13911009,4.054038572,32.14110302
asia,russ081,61.37,30.9,25,1715,1992,277,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.339917377,,0.183108263,,,6,21,0.271564032,0.113958252,0.097138032,0.140693021,0.234434475,0.390577791,1.226717488,0.009856148,0.020586263,13.5589,1.47259,6.60628
asia,russ082,66.08,77.68,30,1671,1990,319,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.272884027,-3.608966667,0.183108263,,0,1,45,0.196146906,0.565189323,0.151342493,0.169225306,0.232061609,0.624976069,0.649136059,0.031506393,0.022027147,24.39566278,3.020578589,31.535941
asia,russ083,63.38,32.32,210,1650,1992,342,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.166034468,-3.608966667,0.762951095,,534.1130167,6,78,0.31225985,0.144809316,0.119582523,0.131223044,0.244811811,0.555019152,0.880301564,0.009583633,0.018643603,14.01209328,1.609013347,7.664144334
asia,russ084,65.38,72.87,100,1767,1990,223,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.3282895,,0.183108263,,225.3762746,1,25,0.434867617,0.361430382,0.145163539,0.170329205,0.228337354,0.549846797,0.75277465,0.04280645,0.029622845,23.19088339,2.91841524,27.77503524
asia,russ085,61.15,136.57,600,1664,1992,328,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Arid,0.075655017,,0.183108263,21,316.1753373,3,37,,0.307016372,0.14564402,0.105780406,0.140398801,0.492795127,15.16642369,0.015693509,0.025616187,20.0586816,2.823286187,16.79132887
asia,russ086,61.15,136.57,600,1647,1992,345,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.112987954,,0.183108263,21,316.1753373,3,37,0.36308279,0.307016372,0.14564402,0.105780406,0.140398801,0.492795127,15.16642369,0.015693509,0.025616187,20.0586816,2.823286187,16.79132887
asia,russ087,68.45,147.58,140,1579,1991,412,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.151312754,,0.183108263,17,86.1194188,1,104,0.15294756,14.12472493,0.192610488,0.151817063,0.192789319,0.191179566,0.916405335,0.010767479,0.018424315,26.29959692,4.200201586,31.35123608
asia,russ088,66.22,165.42,500,1492,1991,499,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.157725069,,0.183108263,12,59.36889378,3,52,,0.833796003,0.23316203,0.182979842,0.158681223,0.291486163,1.331666933,0.024197635,0.050370926,26.09602011,3.921352693,28.75063312
asia,russ089,65.1,154.93,150,1554,1991,437,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.230691839,,0.183108263,15,173.4716385,3,52,0.232011069,3.050846352,0.19388015,0.114263023,0.11372317,0.24632805,0.722601314,0.010068362,0.017517095,22.00509724,3.051777677,22.395979
asia,russ090,64.53,143.12,600,1708,1991,283,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.120978057,,0.183108263,20,99.25830813,6,37,0.185848967,11.51776071,0.203199739,0.117756134,0.119122235,0.298551974,0.756953318,0.016232457,0.022263331,23.78570807,4.148922377,26.06295275
asia,russ091,65.15,149.43,300,1555,1991,436,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.209694256,,0.091554131,,257.9682701,7,85,0.180421447,1.443893976,0.172708597,0.142994004,0.138943109,0.270701577,0.825117296,0.011136986,0.018645768,24.78961428,3.820237398,25.59256901
asia,russ092,67.47,76.77,20,1585,1990,405,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.318940588,,0.183108263,,0,1,25,0.242828869,0.827592148,0.163533204,0.156307116,0.230955923,0.475283993,0.59014511,0.032945432,0.02226683,26.19088029,3.296423226,37.92903167
asia,russ093,68.77,32.8,140,1715,1992,277,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.237780925,-3.608966667,0.656137942,14,690.940059,1,89,0.159591635,0.212237669,0.122174289,0.13493888,0.167964132,0.676825345,0.841132004,0.011458986,0.015637031,18.96834873,2.089259344,17.1864942
asia,russ094,69.53,97.53,550,1540,1990,450,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Humid,0.336630359,,0.183108263,14,86.26465997,1,104,0.177785636,0.969966008,0.194056419,0.127564246,0.138618491,0.405313422,2.012228941,0.032853794,0.0416894,26.86053093,4.02218965,28.59723668
asia,russ095,62.6,58.8,340,1616,1991,375,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.265214971,,0.091554131,15,519.2705425,1,36,,0.230284864,0.155246532,0.120640134,0.152700765,0.998348703,0.802006442,0.020413995,0.020832888,13.63119325,1.651499182,7.166668497
asia,russ096,68.77,32.8,140,1678,1992,314,PCAB,Gymnosperm,Pinaceae,Picea,Picea abies,Humid,0.165352663,-3.98,0.656137942,14,690.940059,1,89,,0.212237669,0.122174289,0.13493888,0.167964132,0.676825345,0.841132004,0.011458986,0.015637031,18.96834873,2.089259344,17.1864942
asia,russ097,65.35,69.52,25,1601,1991,390,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.125338784,,0.183108263,,420.0315628,1,34,,0.370937885,0.149914806,0.161416729,0.211514853,0.542402731,0.806257049,0.037979726,0.027997553,24.7597966,3.05179433,33.54235152
asia,russ098,64.92,42.5,230,1578,1990,412,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.303030375,,0.183108263,18,638.1455812,1,36,0.447475978,0.181067266,0.117660087,0.145442762,0.200139275,0.460523627,1.149894845,0.00982738,0.017199224,13.17740436,1.737876838,5.908375836
asia,russ099,60.57,59.55,720,1612,1992,380,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.251533449,-3.608966667,0.183108263,22,663.2773286,6,21,0.286188854,0.164536311,0.130223964,0.098189669,0.155070505,0.927857767,1.276665874,0.018689216,0.021334515,13.65348422,1.594584677,6.756646329
