Region,Site,Latitude,Longitude,Elevation,Start Year,End Year,Age,Species Code,Plant Type,Family,Genus,Species,Climate Region (based on Aridity Index Value),EWCV,P50,Rooting Depth,Canopy Height,Tree Density,AWC,CEC,Ecological Memory,CV_PN_TMP,CV_EP_TMP,CV_PN_VPD,CV_EP_VPD,CV_PN_CWD,CV_EP_CWD,CV_PN_SR,CV_EP_SR,Nm,Pm,SLA
asia,russ063,68.42,143.17,45,1553,1991,438,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.214839803,,0.167849241,18,64.67476602,1,25,,0.031391581,0.597313764,3.821856145,0.092096737,0.280302072,0.143064045,0.058059816,0.0119342,27.58484527,4.642127927,34.29228522
asia,russ064,66.22,56.33,65,1630,1990,360,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.289033011,,0.183108263,14,795.3271717,6,78,,0.150726954,0.356857473,0.758165667,0.188532596,0.217324226,0.382611721,0.053538207,0.017341983,19.75242067,2.238411652,19.82609303
asia,russ065,69.77,112.82,150,1564,1990,426,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.384391319,,0.183108263,12,69.21892568,5,64,-0.15989386,0.066209386,0.768305182,16.39716072,0.178545883,0.17509607,0.301789689,0.060683903,0.022898732,26.73550603,4.08415483,33.92463771
asia,russ066,62.47,137.75,400,1568,1990,422,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Humid,0.23756008,,0.183108263,18,215.8759315,5,64,0.190891815,0.040155955,0.985891649,0.153900154,0.100745024,0.451544567,0.973936226,0.04741474,0.015561088,25.08350192,4.302479559,24.46480242
asia,russ068,66.68,82.3,50,1307,1968,661,LASI,Gymnosperm,Pinaceae,Larix,Larix sibirica,Humid,0.2269815,,0,10,311.7504142,1,34,,0.099104443,0.586629497,1.192368783,0.160394291,0.315321858,0.760852241,0.003881349,0.012527204,23.68913774,2.904173772,28.99842047
asia,russ069,69.77,112.82,150,1830,1990,160,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.291168952,,0.183108263,12,69.21892568,5,64,,0.066209386,0.768305182,16.39716072,0.178545883,0.17509607,0.301789689,0.060683903,0.022898732,26.73550603,4.08415483,33.92463771
asia,russ070,63.52,151.72,450,1362,1991,629,LAGM,Gymnosperm,Pinaceae,Larix,Larix gmelinii,Arid,0.2756265,,0.091554131,14,106.9811134,6,78,-0.172249611,0.036315649,0.35720499,0.209546325,0.131777357,0.244878026,0.248979235,0.050057176,0.010479849,24.62833421,3.763145029,24.80474941
asia,russ071,66.67,82.33,15,1674,1990,316,PCOB,Gymnosperm,Pinaceae,Picea,Picea obovata,Humid,0.191202619,,0.183108263,10,332.8266056,1,34,,0.108970485,0.588427321,1.012969555,0.16863007,0.325324367,0.807686439,0.053195772,0.011973897,23.68913774,2.904173772,28.99842047
asia,russ072,60.7,51.38,160,1650,1991,341,PCAB,Gymnosperm,Pinaceae,Picea,Picea abies,Humid,0.191407031,-3.98,0.183108263,21,703.1088257,6,78,0.303308548,0.188852878,0.123409619,0.55275836,0.151216216,0.228428553,0.598870733,0.045149221,0.011946355,13.42431441,1.784975971,6.395832295
asia,russ073,65.33,41.12,130,1594,1990,396,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.199477638,-3.608966667,0.183108263,17,426.8985938,5,64,,0.181091378,0.184684565,0.464841634,0.146687136,0.248834506,0.45872403,0.051301327,0.010112021,15.20275125,1.86763038,10.72510879
asia,russ074,60.7,51.38,160,1651,1991,340,PISY,Gymnosperm,Pinaceae,Pinus,Pinus sylvestris,Humid,0.183218128,-3.608966667,0.183108263,21,703.1088257,6,78,0.466076853,0.188852878,0.123409619,0.55275836,0.151216216,0.228428553,0.598870733,0.045149221,0.011946355,13.42431441,1.784975971,6.395832295
